concept_name,anthrax_vaccine,cell_free_filtrate,live_attenuated,anthrax_vaccine_adsorbed_(AVA),anthrax_vaccine_precipitated_(AVP),Russian_anthrax_vaccine_(STI_1_strain),China_anthrax_vaccine_(A16R_strain),cholera_vaccine,inactivated_whole_cell,oral,diphtheria_vaccine,toxoid,haemophilus_influenzae_B_vaccine,pure_polysaccharide,polysaccharide_conjugate,HbOC,PRP_D,PRP_OMP,PRP_T,booster_only_dose,meningococcal_vaccine,recombinant_protein,MPSV4,quadrivalent,bivalent,MenACWY_D,MenACWY_CRM,MenACWY_TT,MenB_4C,MenB_FHbp,pertussis_vaccine,acellular,plague_vaccine,pneumococcal_vaccine,PPSV14,PPSV23,PCV7,PCV10,PCV13,PCV15,PCV20,tetanus_vaccine,diptheria_vaccine,diptheria_and_tetanus_toxoid_vaccine,Td_(adult_formulation),DT_(pediatric_formulation),pertusis_vaccine,diphtheria_toxoid,tetanus_toxoid,Acellular_Pertussis,Tdap_(adult_formulation),DTaP_(pediatric_formulation),haemophilus_influenzae_B_polysaccharide_conjugate,DTaP_Hib,tuberculosis_vaccine,Bacillus_Calmetteâ€“GuÃ©rin_(BCG)_vaccine,typhoid_vaccine,capsular_polysaccaride,conjugate,Ty21a,ViCPS,Vi_TT,typhus_vaccine,covid_19_vaccine,inactivated_whole_virus,protein_subunit,mRNA,viral_vector,DNA,mRNA_1273,mRNA_BNT162b2,rS_ChAdOx1,rS_Ad26,ebola_vaccine,encephalitis_vaccine,influenza_vaccine,hepatitis_A_vaccine,pediatric,adult,hepatitis_B_vaccine,plasma_derived,recombinant_surface_antigen,pediatric_adolescent,dialysis,adult_CpG_adjuvanted,measles_vaccine,mumps_vaccine,rubella_vaccine,varicella_zoster_vaccine,purified_antigen,varicella_vaccine,polio_vaccine,inactivated,trivalent,oral_monovalent,oral_bivalent,oral_trivalent,rabies_vaccine,cell_culture,embryonated_egg_based,purified_duck_embrio_vaccine,primary_hampster_kidney_cell,purified_vero,human_diploid_cell,purified_chick_embryo_cell,rota_vaccine,RV5,RV1,RA_27/3_strain,yellow_fever_vaccine,17D_204_strain,17DD_strain,papilloma_virus_vaccine,L1_protein,HPV2,HPV4,HPV9,Inactivated_poliovirus_vaccine,DTapP_IPV,recombinant_surface_antigen_HepB_vaccine,DTaP_IPV_HepB,haemophilus_influenzae_B,DTaP_IPV_Hib,DTP_Hib
anthrax vaccine,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"anthrax vaccine, cell free filtrate",X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"anthrax vaccine, live attenuated",X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"anthrax vaccine, cell free filtrate, anthrax vaccine adsorbed (AVA)",X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"anthrax vaccine, cell free filtrate, anthrax vaccine precipitated (AVP)",X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"anthrax vaccine, live attenuated, Russian (STI-1 strain)",X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"anthrax vaccine, live attenuated, China (A16R strain)",X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cholera vaccine,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cholera vaccine, inactivated whole cell",,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cholera vaccine, live attenuated",,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cholera vaccine, live attenuated, oral",,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diphtheria vaccine,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"diphtheria vaccine, toxoid",,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus influenzae B vaccine,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"haemophilus influenzae B vaccine, pure polysaccharide",,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
